No. of Elements		Single Thread		Multi Thread
	0		0.000000		0.000000
	100		0.000000		0.001000
	400		0.000000		0.001000
	900		0.000000		0.001000
	1600		0.001000		0.001000
	2500		0.001000		0.002000
	3600		0.001000		0.002000
	4900		0.002000		0.002000
	6400		0.002000		0.003000
	8100		0.003000		0.003000
	10000		0.003000		0.004000
	12100		0.005000		0.006000
	14400		0.005000		0.007000
	16900		0.011000		0.007000
	19600		0.009000		0.008000
	22500		0.013000		0.007000
	25600		0.015000		0.008000
	28900		0.017000		0.011000
	32400		0.020000		0.008000
	36100		0.029000		0.011000
	40000		0.037000		0.011000
	44100		0.037000		0.013000
	48400		0.041000		0.015000
	52900		0.045000		0.018000
	57600		0.071000		0.023000
	62500		0.070000		0.029000
	67600		0.064000		0.017000
	72900		0.079000		0.025000
	78400		0.078000		0.022000
	84100		0.087000		0.031000
	90000		0.088000		0.026000
	96100		0.117000		0.029000
	102400		0.118000		0.053000
	108900		0.127000		0.043000
	115600		0.146000		0.066000
	122500		0.197000		0.064000
	129600		0.264000		0.080000
	136900		0.252000		0.084000
	144400		0.308000		0.075000
	152100		0.338000		0.086000
	160000		0.258000		0.074000
	168100		0.257000		0.079000
	176400		0.263000		0.113000
	184900		0.293000		0.087000
	193600		0.335000		0.087000
	202500		0.412000		0.102000
	211600		0.481000		0.115000
	220900		0.383000		0.119000
	230400		0.386000		0.106000
	240100		0.431000		0.124000
	250000		0.424000		0.136000
	260100		0.471000		0.141000
	270400		0.497000		0.153000
	280900		0.529000		0.143000
	291600		0.580000		0.161000
	302500		0.765000		0.248000
	313600		1.047000		0.235000
	324900		0.665000		0.248000
	336400		0.736000		0.197000
	348100		0.781000		0.212000
	360000		0.787000		0.227000
	372100		0.819000		0.235000
	384400		0.899000		0.261000
	396900		0.973000		0.255000
	409600		0.978000		0.266000
	422500		1.033000		0.336000
	435600		1.715000		0.322000
	448900		1.141000		0.314000
	462400		1.334000		0.341000
	476100		1.271000		0.347000
	490000		1.302000		0.386000
	504100		1.349000		0.366000
	518400		2.114000		0.408000
	532900		1.571000		0.439000
	547600		1.742000		0.441000
	562500		1.743000		0.451000
	577600		1.738000		0.481000
	592900		2.460000		0.483000
	608400		1.932000		0.504000
	624100		2.027000		0.516000
	640000		2.072000		0.541000
	656100		2.222000		0.817000
	672400		2.731000		0.623000
	688900		2.369000		0.629000
	705600		2.446000		0.620000
	722500		3.268000		0.802000
	739600		2.650000		0.670000
	756900		2.726000		0.702000
	774400		2.979000		1.041000
	792100		3.229000		0.760000
	810000		3.362000		0.937000
	828100		3.455000		1.011000
	846400		5.425000		0.900000
	864900		3.970000		0.921000
	883600		4.699000		0.975000
	902500		3.675000		1.364000
	921600		4.073000		0.984000
	940900		4.501000		1.039000
	960400		4.686000		1.212000
	980100		4.486000		1.263000
	1000000		4.841000		1.097000
